Social Media,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024
,Jun,Jul,Ago,Set,Out,Nov,Dez,Jan,Fev,Mar,Abr,Mai,Jun
Alcance,"22,760","19,685","23,209","23,255","24,338","20,143","14,810","14,479","6,391","35,272","22,471","17,240","14,617"
Visitas,"2,034","1,673","2,494","2,042","3,170","2,064","2,045","2,300","1,415","3,759","4,272","3,995","3,021"
Novos Seguidores,398,349,452,534,429,373,495,376,202,444,592,438,405
Curtidas,790,629,"1,000","1,241","1,406",937,804,784,311,"1,432",743,622,"7,536"
Comentários,135,56,45,98,103,71,67,36,26,120,36,44,875
Compartilhamentos,42,31,98,71,57,50,13,42,20,76,39,15,170
Engajamento,4.25%,3.64%,4.92%,6.06%,6.43%,5.25%,5.97%,5.95%,5.59%,4.62%,3.64%,3.95%,58.71%
Número de Publicações,19,31,14,17,26,19,13,21,8,42,29,28,14
,,,,,,,,,,,,,
Instagram,,,,,,,,,,,,,
Página:,,,,,,,,,,,,,
Alcance,"4,571","5,113","7,377","7,158","5,248","5,706","3,365","4,157","1,464","8,086","5,319","3,369","5,483"
Visitas ao Perfil,874,857,"1,382",916,"1,537",904,"1,157",724,480,"1,232","1,289","1,118","1,151"
Novos Seguidores,133,117,147,167,148,95,361,79,66,155,207,143,139
Seguidores total,"3,508","3,561","3,660","3,778","3,881","3,908","4,193","4,217","4,229","4,303","4,451","4,490","4,600"
Churn de Seguidores,#VALUE!,64,48,49,45,68,76,55,54,81,59,104,29
Publicações:,,,,,,,,,,,,,
Número de Publicações e Storys,11,19,4,9,20,12,7,15,5,30,23,23,9
Curtidas,139,105,238,415,604,246,155,266,84,411,196,173,"6,592"
Toque em Figurinha,80,54,0,114,12,6,48,351,56,156,58,53,"1,135"
Cliques no Link,18,6,0,0,0,0,5,16,16,15,17,4,3
Comentário,38,25,8,54,56,50,15,17,8,40,15,12,416
Compartilhamento,15,16,78,58,47,44,11,40,19,52,29,12,158
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LinkedIn,,,,,,,,,,,,,
Página:,,,,,,,,,,,,,
Total de visualizações da página (total),1160,816,1112,1126,1633,1160,888,1576,935,2527,2983,2877,1870
Total de visitantes únicos (total),690,548,658,740,1006,718,610,1030,623,1114,1309,1274,921
Número de Segudores total,"13,863.00",14120,14369,14857,14848,15033,15174,15511,15638,15945,16178,16337,16740
Crescimento de seguidores (mensal),265,232,305,367,281,278,134,297,136,289,385,295,266
Crescimento acumulado (2023),#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Churn de seguidores (mensal),#VALUE!,-25.00,56,-121,290,93,-7,-40,9,-18,152,136,-137
,,,,,,,,,,,,,
Publicações:,,,,,,,,,,,,,
Número de publicações realizadas,8,12,10,8,6,7,6,6,3,12,6,5,5
Impressões (total),"26,353","22,916","24,705","25,035","32,656","21,301","17,746","15,555","8,062","42,737","26,808","22,790","15,692"
Impressões únicas,"18,189","14,572","15,832","16,097","19,090","14,437","11,445","10,322","4,927","27,186","17,152","13,871","9,134"
Impressões úncias (média),"2,274","1,214","1,583","2,012","3,182","2,062","1,908","1,720","1,642","2,266","2,859","2,774","1,827"
Frequência (total/únicas),1.45,1.57,1.56,1.56,1.71,1.48,1.55,1.51,1.64,1.57,1.56,1.64,1.72
Cliques (total),652,"1,024","1,157",885,"2,196",546,"1,092",548,355,"1,985","3,896","2,863","1,348"
Cliques (média),81.50,85.33,115.70,110.63,366.00,78.00,182.00,91.33,118.33,165.42,649.33,572.60,269.60
CTR,2.47%,4.47%,4.68%,3.54%,6.72%,2.56%,6.15%,3.52%,4.40%,4.64%,14.53%,12.56%,8.59%
Reações (total),779,524,762,826,802,691,649,518,227,"1,021",547,449,944
Reações (média),97.38,43.67,76.20,103.25,133.67,98.71,108.17,86.33,75.67,85.08,91.17,89.80,188.80
Comentários (total),97,31,37,44,47,21,52,19,18,80,21,32,459
Comentários (média),12.13,2.58,3.70,5.50,7.83,3.00,8.67,3.17,6.00,6.67,3.50,6.40,91.80
Compartilhamentos (total),27,15,20,13,10,6,2,2,1,24,10,3,12
Taxa de engajamento (orgânico),8.55%,10.94%,12.48%,10.98%,16.00%,8.76%,15.68%,10.53%,12.20%,11.44%,26.08%,24.13%,30.25%
Seguidores acumulado,"1,564","1,796","2,101","2,468","2,749","3,027","3,161","3,458","3,594","3,883","4,268","4,563","4,829"
Engajamento ((reações + compartilhamentos + comentários) / impressões total),3.43%,2.49%,3.32%,3.53%,2.63%,3.37%,3.96%,3.47%,3.05%,2.63%,2.16%,2.12%,9.02%
